run,dataset,smoothing,method,label,corr_sigma_ms,trial,start_s,end_s,correlation
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,0,94.14429999999993,110.78568000000087,0.6756270330526409
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,1,165.3895999999986,182.03071999999884,0.7188292361964363
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,2,412.4880400000002,429.1294999999991,0.7806923680845479
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,3,630.0040000000008,646.3935799999963,0.8268968659665556
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,4,692.3957399999963,708.7848999999987,0.8052642189552944
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,5,895.2564599999969,911.6458399999974,0.7824256829064913
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,10.0,6,985.8532799999994,1002.2426199999973,0.7686126223259474
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,0,94.14429999999993,110.78568000000087,0.7999118739474461
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,1,165.3895999999986,182.03071999999884,0.8234192854683701
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,2,412.4880400000002,429.1294999999991,0.901589231600566
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,3,630.0040000000008,646.3935799999963,0.9350849920329587
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,4,692.3957399999963,708.7848999999987,0.9272932657920936
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,5,895.2564599999969,911.6458399999974,0.898271112876925
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,20.0,6,985.8532799999994,1002.2426199999973,0.89391930403539
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,30.0,0,94.14429999999993,110.78568000000087,0.8439264421681123
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,30.0,1,165.3895999999986,182.03071999999884,0.8577944244546419
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,30.0,2,412.4880400000002,429.1294999999991,0.9413057340515432
ens2_jG8m_sweep2_best_k2_r9_s2p0_d0p45_sb19000,jGCaMP8m_ANM472179_cell03,raw,ens2,ens2,30.0,3,630.0040000000008,646.3935799999963,0.9646408786314817
