run,dataset,smoothing,method,label,corr_sigma_ms,trial,start_s,end_s,correlation
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,20.0,3,709.1003400000045,725.4967599999945,0.9440835535282265
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,20.0,4,931.3550589999941,947.7512790000037,0.9614221391489305
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,20.0,5,1225.4301799999957,1241.8268799999933,0.9892106893099358
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,0,85.09724000000278,101.49371999999859,0.973638769458971
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,1,371.7942400000029,388.1907199999987,0.9569347279195372
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,2,616.4316799999942,632.8283200000005,0.9701632528114031
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,3,709.1003400000045,725.4967599999945,0.9546462572833528
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,4,931.3550589999941,947.7512790000037,0.9721873683986255
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,30.0,5,1225.4301799999957,1241.8268799999933,0.9933273204643334
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,0,85.09724000000278,101.49371999999859,0.9755152901356806
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,1,371.7942400000029,388.1907199999987,0.9691729272838508
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,2,616.4316799999942,632.8283200000005,0.9729306318621849
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,3,709.1003400000045,725.4967599999945,0.9593124995418699
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,4,931.3550589999941,947.7512790000037,0.9768509441701094
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,40.0,5,1225.4301799999957,1241.8268799999933,0.9946891419044734
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,0,85.09724000000278,101.49371999999859,0.9769717640274974
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,1,371.7942400000029,388.1907199999987,0.9748190957844308
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,2,616.4316799999942,632.8283200000005,0.9746496238149067
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,3,709.1003400000045,725.4967599999945,0.9621895787098871
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,4,931.3550589999941,947.7512790000037,0.9795109133945386
