G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.00081e-05,745.195,1.44642e-05,9.43027,5.42665,4.99968,0.0542404,0.657257,2.6598,0.129434,0.117575
5.79973e-05,833.242,1.44642e-05,9.26013,5.2714,4.99968,0.0366528,0.19834,2.82974,0.0485855,0.208071
5.48583e-05,868.877,1.44642e-05,9.26013,5.44249,4.96165,0.0287364,0.390836,2.92627,0.0987161,0.0674086
5.35509e-05,868.877,1.41965e-05,9.26013,5.62426,4.54379,0.0289262,0.0487617,2.07256,0.0930656,0.0923466
5.05548e-05,868.877,1.41965e-05,9.01629,6.13374,4.38116,0.0270292,0.0990545,2.88333,0.105796,0.119656
5.04245e-05,888.878,1.42173e-05,9.01629,6.42042,4.38116,0.0250469,0.0303005,1.66563,0.135017,0.103649
5.04245e-05,892.329,1.42173e-05,9.01629,6.63184,4.38116,0.0251742,0.0625322,2.00572,0.107906,0.0690263
4.80059e-05,894.736,1.42173e-05,9.01629,6.56374,4.38116,0.024419,0.118906,2.19681,0.107561,0.0848295
4.79791e-05,913.68,1.42173e-05,8.82774,6.34422,4.49975,0.0261018,0.0494107,1.85353,0.0832413,0.152874
4.55282e-05,944.795,1.42173e-05,8.97293,6.26542,4.49975,0.0248238,0.124602,2.22253,0.154204,0.114694
4.42361e-05,972.691,1.39675e-05,8.97293,6.26542,4.49537,0.0242129,0.117201,1.58304,0.0901929,0.0856949
4.25766e-05,972.691,1.36249e-05,8.97293,6.00435,4.49537,0.0230944,0.08655,1.68258,0.0431948,0.0937353
4.04305e-05,972.691,1.32717e-05,9.1723,6.11654,4.51419,0.0228269,0.0488748,1.58286,0.124821,0.102757
4.04305e-05,973.329,1.32564e-05,9.18818,6.33519,4.09663,0.0239391,0.0713861,1.71037,0.140695,0.113471
4.05317e-05,973.329,1.32564e-05,9.2179,6.5734,3.92292,0.0212456,0.00738173,1.69248,0.085308,0.111207
4.05317e-05,973.329,1.30779e-05,9.2179,5.48755,3.83054,0.0234662,0.00239381,1.95001,0.119821,0.107685
3.9601e-05,1037.35,1.30779e-05,9.2179,6.19273,3.83054,0.0232209,0.0291156,1.51371,0.0805894,0.0793668
3.78338e-05,1037.35,1.30779e-05,9.31736,6.06795,3.83054,0.0223321,0.00760461,2.06335,0.13148,0.0753846
3.78338e-05,1037.35,1.30779e-05,9.31736,6.25349,3.74932,0.0225798,0.0126198,2.04226,0.0967423,0.0906654
3.74673e-05,1044.37,1.30779e-05,9.31736,5.98683,3.74932,0.0219097,0.0798675,2.84438,0.143009,0.0698493
3.57659e-05,1044.37,1.30779e-05,9.31736,5.98131,3.73728,0.0219889,0.19448,1.82939,0.16192,0.140124
3.56487e-05,1081.83,1.30779e-05,9.31736,6.43251,3.67936,0.0222171,0.0622659,2.30089,0.208827,0.0692806
3.45754e-05,1081.83,1.31875e-05,9.66688,6.39142,3.59023,0.0226807,0.0240687,1.63269,0.092539,0.0780551
3.3144e-05,1094.21,1.29522e-05,9.66688,6.39142,3.42092,0.0217765,0.0332594,1.89888,0.0809337,0.0781254
3.29698e-05,1111.07,1.29522e-05,9.66688,6.42794,3.42092,0.0215585,0.0377081,2.29259,0.0999195,0.0727547
3.29698e-05,1111.07,1.29522e-05,9.61701,6.60981,3.24445,0.0221897,0.106111,1.82019,0.0899016,0.075501
3.11415e-05,1120.03,1.29885e-05,9.61832,6.60981,3.04187,0.0209364,0.0451639,1.77753,0.0746751,0.120665
3.11415e-05,1110.82,1.30606e-05,9.61832,6.37755,2.85574,0.0211794,0.00605521,2.04328,0.115638,0.129632
2.91276e-05,1110.82,1.30606e-05,9.49807,6.37755,2.92189,0.021527,0.0289185,1.92545,0.126456,0.0526544
2.91276e-05,1116.35,1.32043e-05,9.49807,6.13845,2.81514,0.0219019,0.110833,2.09206,0.170219,0.0816805
2.91276e-05,1131.17,1.32699e-05,9.49807,6.2834,2.9626,0.0221079,0.0091641,1.94907,0.112014,0.12595
2.93914e-05,1117.78,1.32027e-05,9.49807,6.2834,2.92279,0.021708,0.0353594,1.79001,0.107404,0.0794979
2.8173e-05,1117.78,1.32027e-05,9.49807,6.43322,2.96945,0.021712,0.00959765,1.76151,0.0749235,0.0936738
2.78446e-05,1117.78,1.32027e-05,9.49807,6.85569,2.85037,0.0213921,0.002539,1.87021,0.147974,0.0900727
2.70057e-05,1117.78,1.34336e-05,9.49807,6.93337,2.91846,0.0225244,0.0463961,1.98226,0.096465,0.0762307
2.79394e-05,1117.78,1.34336e-05,9.49807,7.01596,3.16733,0.0203477,0.00274733,1.56009,0.159532,0.129908
2.74324e-05,1083.78,1.34336e-05,9.49807,7.01596,3.06026,0.020841,0.0123514,1.56544,0.076516,0.083187
2.74324e-05,1092.88,1.34336e-05,9.49807,7.01596,3.06067,0.022004,0.00623592,1.87505,0.118414,0.1114
2.76087e-05,1115.82,1.34336e-05,9.49807,7.00104,3.46385,0.0213008,0.0749925,1.9298,0.10643,0.179933
2.76087e-05,1115.82,1.32922e-05,9.49807,7.15371,3.52758,0.0219045,0.0465325,1.5962,0.175163,0.125278
2.76087e-05,1115.82,1.33603e-05,9.49807,6.81844,3.52758,0.0218317,0.0546159,1.64508,0.110609,0.106961
2.76087e-05,1115.82,1.33603e-05,9.59437,6.63259,3.53174,0.0215969,0.0378032,1.6992,0.100861,0.0635014
2.79925e-05,1129.97,1.31483e-05,9.59437,6.70052,3.53174,0.021102,5.85695e-05,1.34253,0.104913,0.0639483
2.79925e-05,1147.21,1.31483e-05,9.59437,6.52673,3.64289,0.0218032,0.0387712,1.19714,0.102879,0.0854282
2.79925e-05,1160.77,1.31483e-05,9.74611,6.24297,3.70174,0.0215291,0.0386928,1.48952,0.0569512,0.120117
2.84676e-05,1160.77,1.31483e-05,9.74611,6.29673,3.70174,0.0206748,0.00109933,1.28547,0.0956743,0.148994
2.72131e-05,1160.77,1.31483e-05,9.74611,6.60777,3.70174,0.0225402,0.0239993,1.42635,0.119268,0.235571
2.75242e-05,1160.77,1.31483e-05,9.87039,6.60777,3.71398,0.0213298,0.0693805,1.93618,0.0901589,0.120981
2.77922e-05,1171.55,1.31483e-05,9.87039,6.86873,3.67114,0.0205781,0.0227696,2.06083,0.0959765,0.169246
2.82329e-05,1192.24,1.31483e-05,9.83166,6.74549,3.76626,0.0217712,0.0329176,1.71314,0.0979791,0.0654332
2.82329e-05,1153.49,1.29715e-05,9.83166,6.76732,3.76626,0.0220971,0.0680455,1.61067,0.101885,0.125882
2.7386e-05,1153.49,1.29715e-05,9.83166,6.55932,3.797,0.0200811,0.000596199,1.44535,0.171542,0.125852
2.7386e-05,1149.52,1.31496e-05,9.83166,6.74598,3.53691,0.0220619,0.0563557,1.58304,0.139682,0.104304
2.7386e-05,1144.34,1.31496e-05,9.83166,6.22438,3.31049,0.020712,0.0618864,1.56376,0.0657059,0.0657224
2.75391e-05,1133.33,1.31496e-05,9.83166,6.22438,3.31667,0.0215564,0.00368198,1.50144,0.10105,0.0653109
2.75391e-05,1133.33,1.31496e-05,9.83166,6.27799,3.35138,0.0218601,0.0707588,1.61169,0.0735568,0.0879139
2.77409e-05,1133.33,1.30525e-05,9.83166,6.3034,3.60493,0.0216274,0.213849,1.57911,0.122972,0.0690223
2.77409e-05,1133.33,1.29938e-05,9.83166,6.43096,3.45531,0.0214412,0.0509853,1.61755,0.131515,0.112329
2.77409e-05,1133.33,1.29938e-05,9.83166,6.33296,3.34425,0.0209047,0.0166941,1.48597,0.052394,0.116653
2.77409e-05,1134.53,1.29938e-05,9.87935,6.33296,3.63219,0.0221082,0.0662169,1.899,0.125449,0.106116
2.77946e-05,1151.75,1.33235e-05,9.92817,6.47658,3.67527,0.0219087,0.00801766,1.59414,0.179239,0.103662
2.76473e-05,1151.75,1.28321e-05,10.1194,6.60298,3.75911,0.0213765,0.0547524,1.55831,0.174515,0.105741
2.76473e-05,1140.7,1.26892e-05,10.1194,6.05329,3.69596,0.0210866,0.11744,1.60902,0.101332,0.0529266
2.85048e-05,1140.7,1.26892e-05,10.1194,5.83051,3.69596,0.0216973,0.29887,1.65113,0.0624403,0.0965101
2.77184e-05,1124.25,1.26892e-05,10.0059,5.83051,3.65019,0.0211765,0.0992654,1.58268,0.100401,0.0797791
2.77184e-05,1124.25,1.28051e-05,9.89275,5.56319,3.67938,0.0215647,0.0309577,2.14014,0.0985041,0.122092
2.62916e-05,1124.25,1.26242e-05,9.89275,6.28814,3.67938,0.0224716,0.0163237,1.70826,0.0736855,0.144616
2.62916e-05,1124.25,1.28366e-05,9.62712,6.5633,3.67938,0.0225325,0.00164555,1.67103,0.108692,0.104316
2.62916e-05,1124.25,1.29077e-05,9.58111,6.62413,3.35116,0.0219965,0.000239001,1.31275,0.116907,0.0958182
