G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
3.49866e-05,971.616,1.26417e-05,9.01128,9.14747,3.69105,0.0137762,0.071268,1.61097,0.0937936,0.105862
3.49866e-05,971.616,1.26417e-05,9.01128,8.86632,3.72117,0.0126454,0.000671231,1.37169,0.164382,0.112932
3.49866e-05,968.27,1.28153e-05,8.86366,9.11863,3.46627,0.0138687,0.0515485,1.87361,0.136838,0.106303
3.49866e-05,968.27,1.28153e-05,8.86366,8.51435,3.46627,0.0128431,0.108638,1.81878,0.0643355,0.067029
3.52003e-05,975.365,1.28153e-05,8.86366,8.51435,3.47275,0.0132526,0.0031014,1.87692,0.0974111,0.0753477
3.52003e-05,975.365,1.28153e-05,8.86366,8.58768,3.50909,0.0136643,0.0598953,1.99962,0.0709876,0.0998421
3.53827e-05,983.598,1.28153e-05,8.86366,8.62244,3.50909,0.0135811,0.0791011,1.98506,0.120135,0.0705189
3.53827e-05,983.598,1.28153e-05,8.86366,8.79693,3.36344,0.0131999,0.0426307,2.08423,0.126293,0.116572
3.53827e-05,983.598,1.28153e-05,8.86366,8.66287,3.36583,0.0128663,0.0132485,2.00643,0.0497607,0.132846
3.53827e-05,984.636,1.28153e-05,8.90665,8.66287,3.65562,0.0138069,0.0582422,2.33121,0.121785,0.109069
3.54512e-05,985.701,1.28153e-05,8.95066,8.85933,3.69899,0.013771,0.00711323,1.90808,0.162492,0.0972928
3.48678e-05,985.701,1.26528e-05,8.95066,9.03223,3.78336,0.0136051,0.0492058,1.84134,0.170225,0.108214
3.48678e-05,976.244,1.26528e-05,8.95066,8.28032,3.71981,0.0131559,0.115182,1.76992,0.119946,0.0597816
3.59492e-05,976.244,1.26528e-05,8.95066,7.97557,3.5088,0.0136925,0.328709,1.64001,0.0560885,0.0861158
3.49575e-05,962.674,1.26528e-05,8.85026,7.97557,3.46535,0.0130481,0.0286428,1.50815,0.0945805,0.0769603
3.49575e-05,962.674,1.26528e-05,8.75015,7.6099,3.49306,0.0133747,0.0292121,2.4331,0.0882871,0.12364
3.50448e-05,962.674,1.26528e-05,8.75015,8.09053,3.49306,0.0140143,0.0161084,1.86877,0.0734524,0.13449
3.50448e-05,962.674,1.26528e-05,8.75015,8.44455,3.44238,0.0139808,0.00158034,1.88756,0.117424,0.114295
3.50448e-05,962.674,1.27229e-05,8.75015,8.52281,3.1353,0.0136375,0.000195293,1.70346,0.122404,0.109204
3.54339e-05,962.674,1.27229e-05,8.75437,8.12862,3.22402,0.01308,0.00206496,1.54608,0.139751,0.112126
3.54339e-05,962.674,1.27229e-05,8.75437,8.91428,3.29314,0.013898,0.0348562,1.89992,0.136977,0.140738
3.54339e-05,963.572,1.27229e-05,8.75437,9.4249,3.29314,0.0136736,0.0357637,1.85454,0.0776328,0.117337
3.58077e-05,952.686,1.27229e-05,8.8596,9.96194,3.29314,0.0137108,0.0220381,1.97326,0.101244,0.0967452
3.58077e-05,952.686,1.27229e-05,8.95294,9.96194,3.36906,0.0131788,0.0413823,2.41912,0.117783,0.101376
3.58077e-05,952.686,1.253e-05,9.02173,9.96194,3.36906,0.0128209,0.0280562,2.1388,0.10154,0.0569318
3.5846e-05,952.686,1.24596e-05,9.02173,8.84337,3.36906,0.0131392,0.0202794,1.812,0.107691,0.0723892
3.5846e-05,960.521,1.25508e-05,9.02173,8.29406,3.36906,0.0132399,0.00227683,2.07381,0.162998,0.124421
3.56906e-05,961.694,1.25508e-05,9.02173,8.88159,3.37227,0.0131847,0.0519856,2.47298,0.0988846,0.127465
3.55591e-05,961.694,1.239e-05,9.20918,9.94341,3.55339,0.0136316,0.0375411,2.34032,0.0952933,0.0938594
3.53634e-05,961.694,1.23619e-05,9.20918,9.66383,3.55339,0.0127526,0.00198003,1.97704,0.112197,0.0718493
3.53634e-05,961.694,1.23619e-05,9.21418,9.37334,3.40036,0.0138385,0.00732236,2.10614,0.120316,0.142759
3.53634e-05,937.965,1.23228e-05,9.21492,10.1506,3.57212,0.0130861,0.0442518,2.00924,0.117927,0.157421
3.43852e-05,939.056,1.23228e-05,9.21492,10.1506,3.66234,0.0130537,0.000901145,1.93777,0.0881691,0.129888
3.53012e-05,939.056,1.23228e-05,9.21492,10.3163,3.61629,0.0129934,0.0102498,1.6074,0.0786885,0.118269
3.5223e-05,939.056,1.23228e-05,9.21492,10.3909,3.61135,0.0122156,0.116399,1.53025,0.11294,0.0861909
3.45724e-05,939.056,1.23228e-05,9.21492,10.5369,3.51828,0.0128089,0.00152885,1.70881,0.124123,0.0938513
3.47877e-05,939.056,1.23228e-05,9.21492,10.2058,3.42962,0.0134893,0.0273928,1.92481,0.0741752,0.0729753
3.44402e-05,939.056,1.23474e-05,9.21492,10.4764,3.42962,0.0128971,0.0445453,1.61406,0.0655721,0.0868557
3.43915e-05,935.551,1.23474e-05,9.21492,10.4842,3.45684,0.0133102,0.0241698,1.84312,0.0770739,0.0803431
3.43915e-05,935.59,1.23474e-05,9.21492,10.3443,3.35174,0.0139151,0.00367954,1.72933,0.105945,0.0552425
3.47073e-05,935.59,1.23474e-05,9.29457,9.71243,3.20826,0.0128838,0.0190215,2.68861,0.068085,0.0683142
3.47659e-05,935.59,1.23474e-05,9.29457,9.39614,3.20826,0.0133458,0.0684046,2.25483,0.116599,0.120477
3.62755e-05,935.59,1.23474e-05,9.29457,9.70861,3.20826,0.0130177,0.0869354,2.45229,0.152099,0.148794
3.62755e-05,935.59,1.23474e-05,9.30297,8.95876,3.14892,0.0146957,0.28638,1.96075,0.140261,0.142031
3.57521e-05,930.301,1.23474e-05,9.30297,9.12231,3.14892,0.0134588,0.0614421,1.53465,0.0811865,0.0979213
3.57521e-05,930.301,1.23474e-05,9.30297,8.71758,3.09239,0.013279,0.0269551,2.23426,0.0885044,0.151265
3.57521e-05,944.387,1.23851e-05,9.30297,8.74312,3.10818,0.0134042,0.0222115,1.64948,0.153918,0.0869847
3.67035e-05,945.245,1.23851e-05,9.30297,8.74312,3.2187,0.0131697,0.0109264,2.34637,0.0412648,0.105848
3.65316e-05,945.245,1.23851e-05,9.1967,8.14875,3.28872,0.0133201,0.0439682,1.81215,0.114408,0.103884
3.65316e-05,945.245,1.23851e-05,9.1967,8.14875,3.34356,0.0133953,0.0393208,1.47673,0.134455,0.0745328
3.67492e-05,945.245,1.23851e-05,9.1967,8.20035,3.33675,0.0134555,0.00349737,1.55211,0.156647,0.0612063
3.67492e-05,945.245,1.23851e-05,9.1967,8.41198,3.33675,0.0137289,0.0216013,2.02563,0.053273,0.125481
3.4869e-05,945.245,1.23851e-05,9.14915,8.67646,3.21294,0.0133903,0.00480775,2.78767,0.0572808,0.0786298
3.4869e-05,945.245,1.23851e-05,9.14915,8.43513,3.14859,0.0138081,0.0131269,1.96532,0.136292,0.0737239
3.4869e-05,940.29,1.23851e-05,9.14915,8.43513,3.14859,0.0135077,0.0446619,2.08615,0.108649,0.0656436
3.62828e-05,940.29,1.2238e-05,9.14915,8.06244,2.98153,0.0135405,0.0292715,1.93174,0.0646761,0.125358
3.62828e-05,940.29,1.2238e-05,9.14915,7.91698,2.79888,0.0135639,0.056493,2.35231,0.0786997,0.120224
3.64362e-05,948.267,1.21146e-05,9.14915,7.91698,2.9169,0.0137094,0.038171,1.37171,0.168888,0.0833329
