G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.60102e-05,874.943,1.47295e-05,5.13234,7.52304,4.22576,0.00384243,0.000170177,1.43153,0.163169,0.0632199
6.41135e-05,874.943,1.47295e-05,5.13234,7.55786,4.18089,0.00395592,0.00499283,0.794584,0.138908,0.0668447
6.01438e-05,882.76,1.47295e-05,5.13234,6.98384,4.21016,0.00405623,0.0232859,1.42242,0.0985335,0.101185
5.83998e-05,868.184,1.47295e-05,5.13234,6.65838,4.27904,0.00380223,0.00621657,1.1323,0.0863098,0.0807253
5.84005e-05,868.184,1.46415e-05,5.13234,6.85191,4.04271,0.00389856,0.0232121,1.27992,0.0762473,0.0900012
5.90653e-05,865.248,1.52537e-05,4.92088,6.41153,3.91149,0.0041517,0.0111416,0.892165,0.103348,0.10837
5.90653e-05,848.654,1.52537e-05,4.83877,6.54007,3.89964,0.0037395,0.0276241,1.67602,0.0658668,0.189153
5.90653e-05,876.839,1.45327e-05,5.03042,6.54007,3.88976,0.00384957,0.0214776,1.26251,0.0811923,0.111064
5.83685e-05,869.188,1.45327e-05,4.99649,6.54007,4.06664,0.0036967,0.0315634,1.26596,0.158826,0.0877245
5.83031e-05,869.188,1.45782e-05,4.99649,6.66527,4.06133,0.00386192,0.0115096,1.31231,0.0685329,0.147426
6.13287e-05,864.645,1.45782e-05,4.99649,6.34326,4.06133,0.00382732,0.0226469,1.70802,0.115853,0.0628895
6.13287e-05,858.487,1.47034e-05,5.01281,6.34326,4.11607,0.00386642,0.0815292,1.43695,0.0940112,0.0814889
5.93588e-05,861.548,1.47571e-05,5.01007,6.34326,4.11607,0.00382431,0.0242507,1.73706,0.131817,0.120074
5.98917e-05,857.474,1.48959e-05,5.04209,6.28342,4.1669,0.00368358,0.00907954,1.52992,0.127837,0.110046
5.98917e-05,815.885,1.46134e-05,5.04209,6.41439,4.31154,0.00390838,0.0667973,0.974503,0.157848,0.0848384
5.93956e-05,833.182,1.46134e-05,5.04209,6.41825,4.25167,0.00383275,0.0015339,0.603548,0.0857927,0.0721642
5.76614e-05,833.182,1.46134e-05,5.04551,6.33672,4.15067,0.00403168,0.0258933,1.27249,0.114967,0.103602
5.74748e-05,833.182,1.46134e-05,5.04551,6.49156,4.15067,0.00375678,0.0768578,1.3224,0.068447,0.127572
5.74748e-05,837.677,1.43038e-05,5.04551,6.53241,3.95631,0.00389124,0.0409598,1.69723,0.0695433,0.122208
5.80118e-05,847.588,1.43038e-05,5.04551,6.91712,3.95631,0.00407541,0.00534233,1.50569,0.145132,0.0980807
5.80118e-05,853.604,1.44235e-05,5.04551,7.11198,4.05706,0.00379779,0.0716814,1.46725,0.122716,0.0901439
6.10882e-05,853.604,1.45739e-05,4.98894,7.02736,4.22357,0.00394888,0.0917851,1.41652,0.15008,0.182777
6.2423e-05,851.686,1.46086e-05,4.98894,7.08401,4.12405,0.00381291,0.0588906,2.28843,0.142287,0.128512
6.19333e-05,821.438,1.46086e-05,4.98894,7.08401,3.65104,0.00399787,0.0691882,2.0339,0.0698792,0.146631
6.19333e-05,821.438,1.46086e-05,4.98894,7.08964,3.63942,0.00379351,0.086572,1.61663,0.0485593,0.0745862
6.23087e-05,794.039,1.46086e-05,5.02263,7.05316,3.63792,0.00397909,0.0603377,1.19701,0.0888065,0.146629
6.35374e-05,794.039,1.45979e-05,5.00356,6.60986,3.63792,0.00391021,0.0313067,1.50858,0.086543,0.0846571
6.26779e-05,794.039,1.45979e-05,5.00356,7.34992,3.68228,0.00360688,0.0340578,1.8466,0.0857664,0.0599767
6.10963e-05,803.336,1.45979e-05,5.00356,7.01549,3.36213,0.00385142,0.0371733,1.07743,0.155039,0.11141
6.10963e-05,776.793,1.48265e-05,4.93916,6.97275,3.41287,0.00381411,0.0787259,1.0498,0.119041,0.0810884
6.26821e-05,736.576,1.48265e-05,4.92932,6.84491,3.40554,0.0039999,0.0894597,1.31194,0.115914,0.143792
6.09748e-05,763.935,1.48265e-05,4.92932,6.84491,3.52467,0.0039968,0.00548067,1.5616,0.133894,0.0947204
6.32806e-05,763.935,1.48464e-05,4.92932,6.59425,3.71569,0.0039226,0.0216576,1.24058,0.182557,0.0928763
6.32806e-05,786.663,1.51371e-05,4.97785,6.53215,3.77184,0.00396451,0.0210869,1.00901,0.135132,0.0919792
6.45693e-05,779.152,1.49738e-05,4.97785,6.48318,3.54476,0.00372695,0.0407727,0.644154,0.0707147,0.0890023
6.45693e-05,837.235,1.49738e-05,5.10481,6.13252,3.81091,0.00398056,0.00580658,0.813438,0.0902879,0.0627332
6.28673e-05,837.235,1.49738e-05,5.10146,6.13252,3.74555,0.00378743,0.0247296,0.741438,0.101631,0.0585001
6.49479e-05,837.235,1.51368e-05,5.10146,6.13252,3.61816,0.00377888,0.0665847,0.553231,0.0746377,0.0858416
6.67365e-05,837.235,1.55446e-05,5.10146,6.13252,3.64784,0.00401547,0.128432,1.11403,0.0569926,0.100701
6.68973e-05,822.032,1.55446e-05,5.04508,5.56693,3.4747,0.00375395,0.0521048,1.78343,0.0835038,0.109909
6.54265e-05,825.725,1.55446e-05,4.9629,5.52732,3.50038,0.00408463,0.143881,0.815634,0.129083,0.106883
6.55589e-05,825.725,1.55446e-05,4.90443,5.50608,3.42699,0.00391085,0.0188397,0.540355,0.0885772,0.0980623
6.91096e-05,847.587,1.587e-05,4.87525,5.58342,3.58225,0.00383059,0.081811,0.929397,0.0749585,0.0567895
7.07884e-05,847.587,1.587e-05,4.88292,5.67829,3.48062,0.00395273,0.0824219,0.999669,0.0985069,0.167151
7.07884e-05,847.587,1.54763e-05,5.03289,5.67829,3.40607,0.00358355,0.0272728,1.28864,0.120586,0.115167
7.07884e-05,862.788,1.54763e-05,5.0603,5.69175,3.57575,0.00382727,0.116255,1.38209,0.147707,0.144193
6.7805e-05,874.726,1.54763e-05,5.0603,5.62393,3.36954,0.0039169,0.142668,1.45657,0.204195,0.0887982
6.7805e-05,874.726,1.53309e-05,4.99919,5.56625,3.36954,0.00386353,0.0187244,1.15156,0.10929,0.0262937
6.95396e-05,839.651,1.53309e-05,5.17998,5.4161,3.40633,0.00402219,0.0148707,1.30314,0.085314,0.107237
7.28953e-05,839.651,1.53492e-05,5.2032,5.10377,3.13914,0.00400895,0.0465191,1.53659,0.128627,0.0768004
7.20564e-05,840.468,1.53492e-05,5.2032,4.92854,3.16756,0.00396742,0.0316781,1.56325,0.0806871,0.0553032
7.20564e-05,840.468,1.51742e-05,5.2032,4.90986,3.57675,0.00399888,0.0449924,1.49212,0.0944177,0.140569
7.20564e-05,824.76,1.5064e-05,5.30648,4.73256,3.57675,0.00381909,0.00834262,1.31221,0.098463,0.133173
